Town,Town Key,Current ECS Entitlement,% of Total,Percent Increase,Enhanced Education Funding,New Total Funding (ECS + EEF),District Numbers,District Labels,District Count,Needs Review
Andover,andover,2004782,0.08,14.861266711293297,297936,2302718,55,55th District,1,no
Ansonia,ansonia,21332353,0.87,14.861286047535401,3170262,24502615,,,0,yes
Ashford,ashford,3459062,0.14,14.861283203365536,514061,3973123,,,0,yes
Avon,avon,909358,0.04,14.86125376364424,135142,1044500,,,0,yes
Barkhamsted,barkhamsted,1494242,0.06,14.861314298487127,222064,1716306,62,62nd District,1,no
Beacon Falls,beaconfalls,4080374,0.17,14.861284774385878,606396,4686770,105,105th District,1,no
Berlin,berlin,7237662,0.29,14.861290842263703,1075610,8313272,30,30th District,1,no
Bethany,bethany,1764574,0.07,14.861263965126994,262238,2026812,89,89th District,1,no
Bethel,bethel,10047664,0.41,14.861285170363978,1493212,11540876,107,107th District,1,no
Bethlehem,bethlehem,1218610,0.05,14.861276372260198,181101,1399711,66,66th District,1,no
Bloomfield,bloomfield,8047852,0.33,14.861282240279767,1196014,9243866,,,0,yes
Bolton,bolton,2683216,0.11,14.861270952468978,398760,3081976,8; 55,8th District; 55th District,2,no
Bozrah,bozrah,1190095,0.05,14.861250572433294,176863,1366958,48,48th District,1,no
Branford,branford,3772866,0.15,14.861275221542455,560696,4333562,,,0,yes
Bridgeport,bridgeport,212796357,8.66,14.86128590067921,31624275,244420632,,,0,yes
Bridgewater,bridgewater,187715,0.01,14.861358975041952,27897,215612,69,69th District,1,no
Bristol,bristol,55102941,2.24,14.861286623521602,8189006,63291947,78,78th District,1,no
Brookfield,brookfield,1379178,0.06,14.861315943264755,204964,1584142,107,107th District,1,no
Brooklyn,brooklyn,6969690,0.28,14.8612922525966,1035786,8005476,47,47th District,1,no
Burlington,burlington,4699203,0.19,14.861286052124159,698362,5397565,76,76th District,1,no
Canaan,canaan,125752,0.01,14.860996246580571,18688,144440,,,0,yes
Canterbury,canterbury,4004835,0.16,14.861286420039777,595170,4600005,47,47th District,1,no
Canton,canton,4068515,0.17,14.861294600118224,604634,4673149,,,0,yes
Chaplin,chaplin,1652147,0.07,14.861268398029958,245530,1897677,47,47th District,1,no
Cheshire,cheshire,9439993,0.38,14.861282206459265,1402904,10842897,89,89th District,1,no
Chester,chester,991921,0.04,14.861264153092838,147412,1139333,,,0,yes
Clinton,clinton,5192084,0.21,14.86127728287909,771610,5963694,35,35th District,1,no
Colchester,colchester,12040218,0.49,14.861284073095687,1789331,13829549,48,48th District,1,no
Colebrook,colebrook,403912,0.02,14.86140545465349,60027,463939,63,63rd District,1,no
Columbia,columbia,2316189,0.09,14.861265639375715,344215,2660404,8,8th District,1,no
Cornwall,cornwall,32190,0,14.861758310034173,4784,36974,,,0,yes
Coventry,coventry,7952911,0.32,14.86128789822997,1181905,9134816,8,8th District,1,no
Cromwell,cromwell,6177563,0.25,14.861281058566297,918065,7095628,32,32nd District,1,no
Danbury,danbury,62336919,2.54,14.861286294884096,9264068,71600987,108,108th District,1,no
Darien,darien,540833,0.02,14.861334275090462,80375,621208,125; 141,125th District; 141st District,2,no
Deep River,deepriver,1676105,0.07,14.861300455520388,249091,1925196,,,0,yes
Derby,derby,10990454,0.45,14.861287804853193,1633323,12623777,105,105th District,1,no
Durham,durham,3293232,0.13,14.861297351659402,489417,3782649,86,86th District,1,no
Eastford,eastford,947176,0.04,14.86133516896543,140763,1087939,,,0,yes
East Granby,eastgranby,2044159,0.08,14.861270576310357,303788,2347947,61,61st District,1,no
East Haddam,easthaddam,3555957,0.14,14.861287692736441,528461,4084418,34,34th District,1,no
East Hampton,easthampton,6960947,0.28,14.86128252377155,1034486,7995433,34,34th District,1,no
East Hartford,easthartford,70969366,2.89,14.861285360785104,10546960,81516326,,,0,yes
East Haven,easthaven,20005957,0.81,14.861283566689663,2973142,22979099,86,86th District,1,no
East Lyme,eastlyme,6076507,0.25,14.861284616309995,903047,6979554,,,0,yes
Easton,easton,302113,0.01,14.86132672212053,44898,347011,112,112th District,1,no
East Windsor,eastwindsor,5669122,0.23,14.86127834257227,842504,6511626,59,59th District,1,no
Ellington,ellington,10341646,0.42,14.86128997260204,1536902,11878548,,,0,yes
Enfield,enfield,29823645,1.21,14.861285399554616,4432177,34255822,59,59th District,1,no
Essex,essex,215553,0.01,14.861310211409723,32034,247587,,,0,yes
Fairfield,fairfield,1131021,0.05,14.861262522977025,168084,1299105,,,0,yes
Farmington,farmington,3707985,0.15,14.861279104419248,551054,4259039,,,0,yes
Franklin,franklin,736256,0.03,14.861271079624478,109417,845673,48,48th District,1,no
Glastonbury,glastonbury,6717318,0.27,14.861288389205335,998280,7715598,55,55th District,1,no
